# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 
# Data supplier: 
# Location name: 
# Position (lat, lon, elev(m)): 
# Local timezone: Europe/Madrid
# Time Synchronization: GMT+1
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 2328
# SQM hardware identity: FTB3LBET
# SQM firmware version: 4-3-25
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000025,00002328
# SQM readout test rx: r, 00.00m,0000614399Hz,0000000000c,0000000.000s, 011.6C
# SQM readout test cx: c,00000019.86m,0000136.056s, 020.9C,00000008.71m, 020.3C
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.253
# UDM setting: Logged continuously every 1 second,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-03-01T17:29:06.461;2024-03-01T18:29:06.461;11.6;0;614399;0.00
2024-03-01T17:29:07.037;2024-03-01T18:29:07.037;11.6;0;614399;0.00
2024-03-01T17:29:08.045;2024-03-01T18:29:08.045;11.6;0;614399;0.00
2024-03-01T17:29:09.036;2024-03-01T18:29:09.036;11.6;0;614399;0.00
2024-03-01T17:29:10.046;2024-03-01T18:29:10.046;11.6;0;614399;0.00
2024-03-01T17:29:11.037;2024-03-01T18:29:11.037;11.6;0;614399;0.00
2024-03-01T17:29:12.043;2024-03-01T18:29:12.043;11.6;0;614399;0.00
2024-03-01T17:29:13.051;2024-03-01T18:29:13.051;11.6;0;614399;0.00
2024-03-01T17:29:14.045;2024-03-01T18:29:14.045;11.6;0;614399;0.00
2024-03-01T17:29:15.033;2024-03-01T18:29:15.033;11.6;0;614399;0.00
2024-03-01T17:29:16.043;2024-03-01T18:29:16.043;11.6;0;614399;0.00
2024-03-01T17:29:17.032;2024-03-01T18:29:17.032;11.6;0;614399;0.00
2024-03-01T17:29:18.040;2024-03-01T18:29:18.040;11.6;0;614399;0.00
2024-03-01T17:29:19.031;2024-03-01T18:29:19.031;11.6;0;614399;0.00
2024-03-01T17:29:20.045;2024-03-01T18:29:20.045;11.6;0;614399;0.00
2024-03-01T17:29:21.046;2024-03-01T18:29:21.046;11.6;0;614399;0.00
2024-03-01T17:29:22.037;2024-03-01T18:29:22.037;11.6;0;614399;0.00
2024-03-01T17:29:23.028;2024-03-01T18:29:23.028;11.6;0;614399;0.00
2024-03-01T17:29:24.036;2024-03-01T18:29:24.036;11.6;0;614399;0.00
