# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 
# Data supplier: 
# Location name: 
# Position (lat, lon, elev(m)): 
# Local timezone: Europe/Madrid
# Time Synchronization: GMT+1
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 2328
# SQM hardware identity: FTB3LBET
# SQM firmware version: 4-3-25
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000025,00002328
# SQM readout test rx: r, 15.87m,0000000040Hz,0000011760c,0000000.026s, 017.0C
# SQM readout test cx: c,00000019.86m,0000136.056s, 020.9C,00000008.71m, 020.3C
# Comment: Almendralejo calima
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.253
# UDM setting: Logged continuously every 1 second,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-03-23T23:00:00.039;2024-03-24T00:00:00.039;17.0;11713;40;15.87
2024-03-23T23:00:01.046;2024-03-24T00:00:01.046;17.0;11678;40;15.87
2024-03-23T23:00:02.039;2024-03-24T00:00:02.039;17.0;11620;40;15.86
2024-03-23T23:00:03.047;2024-03-24T00:00:03.047;17.0;11548;39;15.86
2024-03-23T23:00:04.038;2024-03-24T00:00:04.038;17.0;11481;39;15.85
2024-03-23T23:00:05.046;2024-03-24T00:00:05.046;17.0;11423;40;15.84
2024-03-23T23:00:06.038;2024-03-24T00:00:06.038;17.0;11261;40;15.82
2024-03-23T23:00:07.048;2024-03-24T00:00:07.048;17.0;10976;41;15.80
2024-03-23T23:00:08.040;2024-03-24T00:00:08.040;17.0;10699;41;15.77
2024-03-23T23:00:09.044;2024-03-24T00:00:09.044;17.0;10549;43;15.75
2024-03-23T23:00:10.036;2024-03-24T00:00:10.036;17.0;10482;43;15.74
2024-03-23T23:00:11.046;2024-03-24T00:00:11.046;17.0;10168;43;15.71
2024-03-23T23:00:12.038;2024-03-24T00:00:12.038;17.0;10380;43;15.74
2024-03-23T23:00:13.043;2024-03-24T00:00:13.043;17.0;11330;45;15.84
2024-03-23T23:00:14.034;2024-03-24T00:00:14.034;17.0;11599;45;15.86
2024-03-23T23:00:15.046;2024-03-24T00:00:15.046;17.0;12073;40;15.90
2024-03-23T23:00:16.049;2024-03-24T00:00:16.049;17.0;12267;40;15.92
2024-03-23T23:00:17.041;2024-03-24T00:00:17.041;17.0;12372;38;15.93
2024-03-23T23:00:18.049;2024-03-24T00:00:18.049;17.0;12254;38;15.92
2024-03-23T23:00:19.040;2024-03-24T00:00:19.040;17.0;11922;38;15.89
2024-03-23T23:00:20.048;2024-03-24T00:00:20.048;17.0;11839;38;15.88
2024-03-23T23:00:21.038;2024-03-24T00:00:21.038;17.0;11879;38;15.88
2024-03-23T23:00:22.047;2024-03-24T00:00:22.047;17.0;12221;38;15.91
2024-03-23T23:00:23.042;2024-03-24T00:00:23.042;17.0;12296;38;15.93
2024-03-23T23:00:24.048;2024-03-24T00:00:24.048;17.0;12246;38;15.92
2024-03-23T23:00:25.038;2024-03-24T00:00:25.038;17.0;12248;38;15.92
2024-03-23T23:00:26.049;2024-03-24T00:00:26.049;17.0;11777;38;15.88
2024-03-23T23:00:27.042;2024-03-24T00:00:27.042;17.0;12093;38;15.90
2024-03-23T23:00:28.045;2024-03-24T00:00:28.045;17.0;11663;38;15.87
2024-03-23T23:00:29.036;2024-03-24T00:00:29.036;17.0;11579;39;15.86
2024-03-23T23:00:30.043;2024-03-24T00:00:30.043;17.0;11602;39;15.86
2024-03-23T23:00:31.050;2024-03-24T00:00:31.050;17.0;11575;39;15.86
2024-03-23T23:00:32.043;2024-03-24T00:00:32.043;17.0;11562;39;15.86
2024-03-23T23:00:33.051;2024-03-24T00:00:33.051;17.0;11758;40;15.87
2024-03-23T23:00:34.042;2024-03-24T00:00:34.042;17.0;12277;40;15.92
2024-03-23T23:00:35.034;2024-03-24T00:00:35.034;17.0;11915;38;15.89
2024-03-23T23:00:36.043;2024-03-24T00:00:36.043;17.0;11844;38;15.88
2024-03-23T23:00:37.052;2024-03-24T00:00:37.052;17.0;11912;38;15.89
2024-03-23T23:00:38.040;2024-03-24T00:00:38.040;17.0;11847;38;15.88
2024-03-23T23:00:39.047;2024-03-24T00:00:39.047;17.0;11876;39;15.88
2024-03-23T23:00:40.038;2024-03-24T00:00:40.038;17.0;11889;39;15.88
2024-03-23T23:00:41.047;2024-03-24T00:00:41.047;17.0;11897;38;15.88
2024-03-23T23:00:42.042;2024-03-24T00:00:42.042;17.0;11926;38;15.89
2024-03-23T23:00:43.047;2024-03-24T00:00:43.047;17.0;11981;38;15.90
2024-03-23T23:00:44.038;2024-03-24T00:00:44.038;17.0;11898;38;15.88
2024-03-23T23:00:45.049;2024-03-24T00:00:45.049;17.0;11922;38;15.89
2024-03-23T23:00:46.042;2024-03-24T00:00:46.042;17.0;11975;38;15.90
2024-03-23T23:00:47.048;2024-03-24T00:00:47.048;17.0;12270;38;15.92
2024-03-23T23:00:48.036;2024-03-24T00:00:48.036;17.0;12317;38;15.93
2024-03-23T23:00:49.045;2024-03-24T00:00:49.045;17.0;12351;38;15.93
2024-03-23T23:00:50.052;2024-03-24T00:00:50.052;17.0;12365;38;15.93
2024-03-23T23:00:51.046;2024-03-24T00:00:51.046;17.0;12274;38;15.92
2024-03-23T23:00:52.053;2024-03-24T00:00:52.053;17.0;11848;38;15.88
2024-03-23T23:00:53.042;2024-03-24T00:00:53.042;17.0;11870;38;15.88
2024-03-23T23:00:54.049;2024-03-24T00:00:54.049;17.0;11874;38;15.88
2024-03-23T23:00:55.040;2024-03-24T00:00:55.040;17.0;11869;38;15.88
2024-03-23T23:00:56.032;2024-03-24T00:00:56.032;17.0;11871;38;15.88
2024-03-23T23:00:57.041;2024-03-24T00:00:57.041;17.0;11879;38;15.88
2024-03-23T23:00:58.052;2024-03-24T00:00:58.052;17.0;12034;38;15.90
2024-03-23T23:00:59.038;2024-03-24T00:00:59.038;17.0;12009;39;15.90
2024-03-23T23:01:00.048;2024-03-24T00:01:00.048;17.0;11985;39;15.90
2024-03-23T23:01:01.043;2024-03-24T00:01:01.043;17.0;11956;38;15.89
2024-03-23T23:01:02.047;2024-03-24T00:01:02.047;17.0;11935;38;15.89
2024-03-23T23:01:03.037;2024-03-24T00:01:03.037;17.0;11949;38;15.89
2024-03-23T23:01:04.049;2024-03-24T00:01:04.049;17.0;11979;38;15.90
2024-03-23T23:01:05.036;2024-03-24T00:01:05.036;17.0;11998;38;15.90
2024-03-23T23:01:06.044;2024-03-24T00:01:06.044;17.0;12016;38;15.90
2024-03-23T23:01:07.036;2024-03-24T00:01:07.036;17.0;12018;38;15.90
2024-03-23T23:01:08.044;2024-03-24T00:01:08.044;17.0;11888;38;15.88
2024-03-23T23:01:09.036;2024-03-24T00:01:09.036;17.0;11893;38;15.88
2024-03-23T23:01:10.047;2024-03-24T00:01:10.047;17.0;11911;38;15.89
2024-03-23T23:01:11.050;2024-03-24T00:01:11.050;17.0;11927;38;15.89
2024-03-23T23:01:12.041;2024-03-24T00:01:12.041;17.0;11917;38;15.89
2024-03-23T23:01:13.051;2024-03-24T00:01:13.051;17.0;11894;38;15.88
2024-03-23T23:01:14.041;2024-03-24T00:01:14.041;17.0;11845;38;15.88
2024-03-23T23:01:15.049;2024-03-24T00:01:15.049;17.0;11910;39;15.89
2024-03-23T23:01:16.041;2024-03-24T00:01:16.041;17.0;11850;39;15.88
2024-03-23T23:01:17.049;2024-03-24T00:01:17.049;17.0;11899;38;15.88
2024-03-23T23:01:18.040;2024-03-24T00:01:18.040;17.0;12186;38;15.91
2024-03-23T23:01:19.051;2024-03-24T00:01:19.051;17.0;12285;38;15.92
2024-03-23T23:01:20.041;2024-03-24T00:01:20.041;17.0;12296;38;15.93
2024-03-23T23:01:21.050;2024-03-24T00:01:21.050;17.0;11919;38;15.89
2024-03-23T23:01:22.041;2024-03-24T00:01:22.041;17.0;12009;38;15.90
2024-03-23T23:01:23.049;2024-03-24T00:01:23.049;17.0;11837;38;15.88
2024-03-23T23:01:24.038;2024-03-24T00:01:24.038;17.0;11898;38;15.88
