# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 
# Data supplier: 
# Location name: 
# Position (lat, lon, elev(m)): 
# Local timezone: Europe/Madrid
# Time Synchronization: GMT+1
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 2328
# SQM hardware identity: FTB3LBET
# SQM firmware version: 4-3-25
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000025,00002328
# SQM readout test rx: r, 15.59m,0000000051Hz,0000009124c,0000000.020s, 016.4C
# SQM readout test cx: c,00000019.86m,0000136.056s, 020.9C,00000008.71m, 020.3C
# Comment: Almendralejo calima despejado (tarde)
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.253
# UDM setting: Logged continuously every 1 second,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-03-24T23:00:00.044;2024-03-25T00:00:00.044;16.4;9141;51;15.59
2024-03-24T23:00:01.037;2024-03-25T00:00:01.037;16.4;9073;51;15.59
2024-03-24T23:00:02.043;2024-03-25T00:00:02.043;16.4;9105;51;15.59
2024-03-24T23:00:03.033;2024-03-25T00:00:03.033;16.4;9144;51;15.59
2024-03-24T23:00:04.041;2024-03-25T00:00:04.041;16.4;9080;50;15.59
2024-03-24T23:00:05.049;2024-03-25T00:00:05.049;16.4;9114;50;15.59
2024-03-24T23:00:06.039;2024-03-25T00:00:06.039;16.4;9102;50;15.59
2024-03-24T23:00:07.049;2024-03-25T00:00:07.049;16.4;8929;50;15.57
2024-03-24T23:00:08.038;2024-03-25T00:00:08.038;16.4;9110;51;15.59
2024-03-24T23:00:09.044;2024-03-25T00:00:09.044;16.4;9113;51;15.59
2024-03-24T23:00:10.052;2024-03-25T00:00:10.052;16.4;8919;51;15.57
2024-03-24T23:00:11.043;2024-03-25T00:00:11.043;16.4;9105;51;15.59
2024-03-24T23:00:12.049;2024-03-25T00:00:12.049;16.4;9130;50;15.59
2024-03-24T23:00:13.042;2024-03-25T00:00:13.042;16.4;9047;50;15.59
2024-03-24T23:00:14.047;2024-03-25T00:00:14.047;16.4;9097;51;15.59
2024-03-24T23:00:15.039;2024-03-25T00:00:15.039;16.4;9139;51;15.59
2024-03-24T23:00:16.046;2024-03-25T00:00:16.046;16.4;9098;50;15.59
2024-03-24T23:00:17.036;2024-03-25T00:00:17.036;16.4;9047;50;15.59
2024-03-24T23:00:18.043;2024-03-25T00:00:18.043;16.4;9086;51;15.59
2024-03-24T23:00:19.052;2024-03-25T00:00:19.052;16.4;9102;51;15.59
2024-03-24T23:00:20.042;2024-03-25T00:00:20.042;16.4;9127;50;15.59
