# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 
# Data supplier: 
# Location name: badajoz
# Position (lat, lon, elev(m)): 
# Local timezone: Europe/Madrid
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 2328
# SQM hardware identity: FTB3LBET
# SQM firmware version: 4-3-25
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000025,00002328
# SQM readout test rx: r, 18.57m,0000000003Hz,0000139410c,0000000.303s, 009.3C
# SQM readout test cx: c,00000019.86m,0000136.056s, 020.9C,00000008.71m, 020.3C
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.253
# UDM setting: Logged continuously every 1 second,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-02-28T23:00:00.044;2024-02-29T00:00:00.044;9.3;139391;3;18.57
2024-02-28T23:00:01.031;2024-02-29T00:00:01.031;9.3;144111;3;18.59
2024-02-28T23:00:02.038;2024-02-29T00:00:02.038;9.3;152261;3;18.66
2024-02-28T23:00:03.044;2024-02-29T00:00:03.044;9.3;160386;2;18.71
2024-02-28T23:00:04.035;2024-02-29T00:00:04.035;9.3;161439;2;18.72
2024-02-28T23:00:05.042;2024-02-29T00:00:05.042;9.3;161480;3;18.72
2024-02-28T23:00:06.038;2024-02-29T00:00:06.038;9.3;161471;3;18.72
2024-02-28T23:00:07.040;2024-02-29T00:00:07.040;9.3;161484;3;18.72
2024-02-28T23:00:08.032;2024-02-29T00:00:08.032;9.3;162425;3;18.73
2024-02-28T23:00:09.038;2024-02-29T00:00:09.038;9.3;162475;2;18.73
2024-02-28T23:00:10.030;2024-02-29T00:00:10.030;9.3;161549;2;18.72
2024-02-28T23:00:11.038;2024-02-29T00:00:11.038;9.3;162483;3;18.73
2024-02-28T23:00:12.044;2024-02-29T00:00:12.044;9.3;162514;3;18.73
2024-02-28T23:00:13.054;2024-02-29T00:00:13.054;9.3;162545;3;18.73
2024-02-28T23:00:14.042;2024-02-29T00:00:14.042;9.3;162574;3;18.73
2024-02-28T23:00:15.033;2024-02-29T00:00:15.033;9.3;162584;3;18.73
2024-02-28T23:00:16.040;2024-02-29T00:00:16.040;9.3;162580;3;18.73
2024-02-28T23:00:17.031;2024-02-29T00:00:17.031;9.3;163484;3;18.73
2024-02-28T23:00:18.043;2024-02-29T00:00:18.043;9.3;163520;3;18.73
2024-02-28T23:00:19.029;2024-02-29T00:00:19.029;9.3;162624;3;18.73
2024-02-28T23:00:20.036;2024-02-29T00:00:20.036;9.3;162602;3;18.73
2024-02-28T23:00:21.043;2024-02-29T00:00:21.043;9.3;162585;3;18.73
2024-02-28T23:00:22.034;2024-02-29T00:00:22.034;9.3;163488;3;18.73
2024-02-28T23:00:23.042;2024-02-29T00:00:23.042;9.3;163494;3;18.73
2024-02-28T23:00:24.033;2024-02-29T00:00:24.033;9.3;163503;3;18.73
2024-02-28T23:00:25.040;2024-02-29T00:00:25.040;9.3;162600;3;18.73
2024-02-28T23:00:26.031;2024-02-29T00:00:26.031;9.3;162581;3;18.73
