# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 
# Data supplier: 
# Location name: 
# Position (lat, lon, elev(m)): 
# Local timezone: Europe/Madrid
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 2328
# SQM hardware identity: FTB3LBET
# SQM firmware version: 4-3-25
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000025,00002328
# SQM readout test rx: r, 18.29m,0000000005Hz,0000108071c,0000000.235s, 011.9C
# SQM readout test cx: c,00000019.86m,0000136.056s, 020.9C,00000008.71m, 020.3C
# Comment: Badajoz nublado
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.266
# UDM setting: Logged continuously every 1 second,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-03-13T23:00:00.051;2024-03-14T00:00:00.051;11.9;107225;5;18.27
2024-03-13T23:00:01.045;2024-03-14T00:00:01.045;11.9;115069;5;18.35
2024-03-13T23:00:02.052;2024-03-14T00:00:02.052;11.9;124542;4;18.44
2024-03-13T23:00:03.043;2024-03-14T00:00:03.043;11.9;127872;4;18.47
2024-03-13T23:00:04.051;2024-03-14T00:00:04.051;11.9;126985;3;18.46
2024-03-13T23:00:05.042;2024-03-14T00:00:05.042;11.9;127896;3;18.47
2024-03-13T23:00:06.047;2024-03-14T00:00:06.047;11.9;127904;3;18.47
2024-03-13T23:00:07.036;2024-03-14T00:00:07.036;11.9;127953;3;18.47
2024-03-13T23:00:08.046;2024-03-14T00:00:08.046;11.9;128825;4;18.47
2024-03-13T23:00:09.036;2024-03-14T00:00:09.036;11.9;128010;4;18.47
2024-03-13T23:00:10.044;2024-03-14T00:00:10.044;11.9;128025;4;18.47
2024-03-13T23:00:11.051;2024-03-14T00:00:11.051;11.9;128957;4;18.47
2024-03-13T23:00:12.043;2024-03-14T00:00:12.043;11.9;128099;4;18.47
2024-03-13T23:00:13.050;2024-03-14T00:00:13.050;11.9;128096;4;18.47
2024-03-13T23:00:14.042;2024-03-14T00:00:14.042;11.9;128961;3;18.47
