# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 
# Data supplier: 
# Location name: badajoz
# Position (lat, lon, elev(m)): 
# Local timezone: Europe/Madrid
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 2328
# SQM hardware identity: FTB3LBET
# SQM firmware version: 4-3-25
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000025,00002328
# SQM readout test rx: r, 18.57m,0000000003Hz,0000140205c,0000000.304s, 012.8C
# SQM readout test cx: c,00000019.86m,0000136.056s, 020.9C,00000008.71m, 020.3C
# Comment: Badajoz pocas nubes (solo algunos cirros). Hemos empezado un poquito tarde.
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.253
# UDM setting: Logged continuously every 1 second,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-04-03T22:00:00.044;2024-04-04T00:00:00.044;12.8;140208;3;18.57
2024-04-03T22:00:01.036;2024-04-04T00:00:01.036;12.8;146012;3;18.61
2024-04-03T22:00:02.046;2024-04-04T00:00:02.046;12.8;155317;3;18.68
2024-04-03T22:00:03.065;2024-04-04T00:00:03.065;12.8;164602;3;18.74
2024-04-03T22:00:04.059;2024-04-04T00:00:04.059;12.8;165493;2;18.75
2024-04-03T22:00:05.065;2024-04-04T00:00:05.065;12.8;165425;2;18.75
2024-04-03T22:00:06.078;2024-04-04T00:00:06.078;12.8;164768;3;18.74
2024-04-03T22:00:07.029;2024-04-04T00:00:07.029;12.8;164812;3;18.74
2024-04-03T22:00:08.064;2024-04-04T00:00:08.064;12.8;165668;3;18.75
2024-04-03T22:00:09.046;2024-04-04T00:00:09.046;12.8;165756;3;18.75
2024-04-03T22:00:10.051;2024-04-04T00:00:10.051;12.8;165816;3;18.75
2024-04-03T22:00:11.043;2024-04-04T00:00:11.043;12.8;165897;3;18.76
2024-04-03T22:00:12.033;2024-04-04T00:00:12.033;12.8;165964;3;18.76
2024-04-03T22:00:13.052;2024-04-04T00:00:13.052;12.8;166056;3;18.76
2024-04-03T22:00:14.031;2024-04-04T00:00:14.031;12.8;166814;3;18.76
2024-04-03T22:00:15.040;2024-04-04T00:00:15.040;12.8;166846;3;18.76
2024-04-03T22:00:16.048;2024-04-04T00:00:16.048;12.8;166779;3;18.76
2024-04-03T22:00:17.039;2024-04-04T00:00:17.039;12.8;166045;3;18.76
2024-04-03T22:00:18.046;2024-04-04T00:00:18.046;12.8;166025;2;18.76
2024-04-03T22:00:19.035;2024-04-04T00:00:19.035;12.8;166049;2;18.76
2024-04-03T22:00:20.044;2024-04-04T00:00:20.044;12.8;166739;3;18.76
2024-04-03T22:00:21.037;2024-04-04T00:00:21.037;12.8;166749;3;18.76
2024-04-03T22:00:22.051;2024-04-04T00:00:22.051;12.8;166766;2;18.76
2024-04-03T22:00:23.034;2024-04-04T00:00:23.034;12.8;166032;2;18.76
2024-04-03T22:00:24.041;2024-04-04T00:00:24.041;12.8;165970;3;18.76
2024-04-03T22:00:25.063;2024-04-04T00:00:25.063;12.8;165920;3;18.76
2024-04-03T22:00:26.055;2024-04-04T00:00:26.055;12.8;165895;2;18.76
2024-04-03T22:00:27.049;2024-04-04T00:00:27.049;12.8;165872;2;18.75
2024-04-03T22:00:28.037;2024-04-04T00:00:28.037;12.8;165577;3;18.75
2024-04-03T22:00:29.082;2024-04-04T00:00:29.082;12.8;165893;3;18.76
2024-04-03T22:00:30.035;2024-04-04T00:00:30.035;12.8;166948;3;18.76
2024-04-03T22:00:31.043;2024-04-04T00:00:31.043;12.8;166210;3;18.76
2024-04-03T22:00:32.051;2024-04-04T00:00:32.051;12.8;165961;3;18.76
2024-04-03T22:00:33.054;2024-04-04T00:00:33.054;12.8;166001;3;18.76
2024-04-03T22:00:34.048;2024-04-04T00:00:34.048;12.8;166023;3;18.76
2024-04-03T22:00:35.038;2024-04-04T00:00:35.038;12.8;166016;3;18.76
2024-04-03T22:00:36.047;2024-04-04T00:00:36.047;12.8;166024;3;18.76
2024-04-03T22:00:37.038;2024-04-04T00:00:37.038;12.8;166723;3;18.76
2024-04-03T22:00:38.046;2024-04-04T00:00:38.046;12.8;166718;3;18.76
2024-04-03T22:00:39.036;2024-04-04T00:00:39.036;12.8;166673;3;18.76
2024-04-03T22:00:40.060;2024-04-04T00:00:40.060;12.8;165949;2;18.76
