# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 
# Data supplier: 
# Location name: badajoz
# Position (lat, lon, elev(m)): 
# Local timezone: Europe/Madrid
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 2328
# SQM hardware identity: FTB3LBET
# SQM firmware version: 4-3-25
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000025,00002328
# SQM readout test rx: r, 00.00m,0000614401Hz,0000000000c,0000000.000s, 023.5C
# SQM readout test cx: c,00000019.86m,0000136.056s, 020.9C,00000008.71m, 020.3C
# Comment: Badajoz pocas nubes (solo algunos cirros formando una especie de capa tenue).
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.253
# UDM setting: Logged continuously every 1 second,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-04-04T18:12:29.635;2024-04-04T20:12:29.635;23.5;0;614401;0.00
2024-04-04T18:12:30.034;2024-04-04T20:12:30.034;23.5;0;614400;0.00
2024-04-04T18:12:31.026;2024-04-04T20:12:31.026;23.5;0;614400;0.00
2024-04-04T18:12:32.034;2024-04-04T20:12:32.034;23.5;0;614400;0.00
2024-04-04T18:12:33.043;2024-04-04T20:12:33.043;23.5;0;614400;0.00
2024-04-04T18:12:34.032;2024-04-04T20:12:34.032;23.5;0;614400;0.00
2024-04-04T18:12:35.040;2024-04-04T20:12:35.040;23.5;0;614400;0.00
2024-04-04T18:12:36.031;2024-04-04T20:12:36.031;23.5;0;614400;0.00
2024-04-04T18:12:37.054;2024-04-04T20:12:37.054;23.5;0;614400;0.00
2024-04-04T18:12:38.030;2024-04-04T20:12:38.030;23.5;0;614400;0.00
2024-04-04T18:12:39.037;2024-04-04T20:12:39.037;23.5;0;614400;0.00
2024-04-04T18:12:40.029;2024-04-04T20:12:40.029;23.5;0;614400;0.00
2024-04-04T18:12:41.036;2024-04-04T20:12:41.036;23.5;0;614400;0.00
2024-04-04T18:12:42.027;2024-04-04T20:12:42.027;23.5;0;614400;0.00
2024-04-04T18:12:43.034;2024-04-04T20:12:43.034;23.5;0;614400;0.00
2024-04-04T18:12:44.026;2024-04-04T20:12:44.026;23.5;0;614400;0.00
