# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 
# Data supplier: 
# Location name: badajoz
# Position (lat, lon, elev(m)): 
# Local timezone: Europe/Madrid
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 2328
# SQM hardware identity: FTB3LBET
# SQM firmware version: 4-3-25
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000025,00002328
# SQM readout test rx: r, 00.00m,0000614399Hz,0000000000c,0000000.000s, 019.0C
# SQM readout test cx: c,00000019.86m,0000136.056s, 020.9C,00000008.71m, 020.3C
# Comment: Badajoz parcialmente nublado
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.253
# UDM setting: Logged continuously every 1 second,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-04-07T18:07:33.398;2024-04-07T20:07:33.398;19.0;0;614399;0.00
2024-04-07T18:07:34.051;2024-04-07T20:07:34.051;19.0;0;614399;0.00
2024-04-07T18:07:35.038;2024-04-07T20:07:35.038;19.0;0;614399;0.00
2024-04-07T18:07:36.052;2024-04-07T20:07:36.052;19.0;0;614399;0.00
2024-04-07T18:07:37.035;2024-04-07T20:07:37.035;19.0;0;614399;0.00
2024-04-07T18:07:38.043;2024-04-07T20:07:38.043;19.0;0;614399;0.00
2024-04-07T18:07:39.034;2024-04-07T20:07:39.034;19.0;0;614399;0.00
2024-04-07T18:07:40.042;2024-04-07T20:07:40.042;19.0;0;614399;0.00
2024-04-07T18:07:41.033;2024-04-07T20:07:41.033;19.0;0;614399;0.00
2024-04-07T18:07:42.040;2024-04-07T20:07:42.040;19.0;0;614399;0.00
2024-04-07T18:07:43.031;2024-04-07T20:07:43.031;19.0;0;614399;0.00
2024-04-07T18:07:44.039;2024-04-07T20:07:44.039;19.0;0;614399;0.00
2024-04-07T18:07:45.046;2024-04-07T20:07:45.046;19.0;0;614399;0.00
2024-04-07T18:07:46.038;2024-04-07T20:07:46.038;19.0;0;614399;0.00
2024-04-07T18:07:47.045;2024-04-07T20:07:47.045;19.0;0;614399;0.00
2024-04-07T18:07:48.037;2024-04-07T20:07:48.037;19.0;0;614399;0.00
2024-04-07T18:07:49.044;2024-04-07T20:07:49.044;19.0;0;614399;0.00
2024-04-07T18:07:50.036;2024-04-07T20:07:50.036;19.0;0;614399;0.00
2024-04-07T18:07:51.043;2024-04-07T20:07:51.043;19.0;0;614399;0.00
2024-04-07T18:07:52.034;2024-04-07T20:07:52.034;19.0;0;614399;0.00
2024-04-07T18:07:53.042;2024-04-07T20:07:53.042;19.0;0;614399;0.00
