# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 
# Data supplier: 
# Location name: badajoz
# Position (lat, lon, elev(m)): 
# Local timezone: Europe/Madrid
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 2328
# SQM hardware identity: FTB3LBET
# SQM firmware version: 4-3-25
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000025,00002328
# SQM readout test rx: r, 00.00m,0000524920Hz,0000000000c,0000000.000s, 017.4C
# SQM readout test cx: c,00000019.86m,0000136.056s, 020.9C,00000008.71m, 020.3C
# Comment: Badajoz cielo despejado. Ayer llovio.
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.253
# UDM setting: Logged continuously every 1 second,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-04-09T18:22:24.178;2024-04-09T20:22:24.178;17.4;0;524920;0.00
2024-04-09T18:22:25.042;2024-04-09T20:22:25.042;17.4;0;524920;0.00
2024-04-09T18:22:26.041;2024-04-09T20:22:26.041;17.4;0;524571;0.00
2024-04-09T18:22:27.040;2024-04-09T20:22:27.040;17.4;0;524571;0.00
2024-04-09T18:22:28.045;2024-04-09T20:22:28.045;17.4;0;524269;0.00
2024-04-09T18:22:29.036;2024-04-09T20:22:29.036;17.4;0;524269;0.00
2024-04-09T18:22:30.028;2024-04-09T20:22:30.028;17.4;0;523931;0.00
2024-04-09T18:22:31.037;2024-04-09T20:22:31.037;17.4;0;523931;0.00
2024-04-09T18:22:32.051;2024-04-09T20:22:32.051;17.4;0;523623;0.00
2024-04-09T18:22:33.040;2024-04-09T20:22:33.040;17.4;0;523623;0.00
2024-04-09T18:22:34.052;2024-04-09T20:22:34.052;17.4;0;523277;0.00
2024-04-09T18:22:35.041;2024-04-09T20:22:35.041;17.4;0;523277;0.00
2024-04-09T18:22:36.053;2024-04-09T20:22:36.053;17.4;0;522960;0.00
2024-04-09T18:22:37.030;2024-04-09T20:22:37.030;17.4;0;522960;0.00
2024-04-09T18:22:38.038;2024-04-09T20:22:38.038;17.4;0;522625;0.00
2024-04-09T18:22:39.053;2024-04-09T20:22:39.053;17.4;0;522625;0.00
2024-04-09T18:22:40.039;2024-04-09T20:22:40.039;17.4;0;522315;0.00
2024-04-09T18:22:41.028;2024-04-09T20:22:41.028;17.4;0;522315;0.00
2024-04-09T18:22:42.038;2024-04-09T20:22:42.038;17.4;0;521964;0.00
2024-04-09T18:22:43.054;2024-04-09T20:22:43.054;17.4;0;521964;0.00
2024-04-09T18:22:44.036;2024-04-09T20:22:44.036;17.4;0;521627;0.00
2024-04-09T18:22:45.054;2024-04-09T20:22:45.054;17.4;0;521627;0.00
2024-04-09T18:22:46.035;2024-04-09T20:22:46.035;17.4;0;521297;0.00
2024-04-09T18:22:47.054;2024-04-09T20:22:47.054;17.4;0;521297;0.00
2024-04-09T18:22:48.032;2024-04-09T20:22:48.032;17.4;0;520949;0.00
2024-04-09T18:22:49.041;2024-04-09T20:22:49.041;17.4;0;520949;0.00
2024-04-09T18:22:50.051;2024-04-09T20:22:50.051;17.4;0;520630;0.00
2024-04-09T18:22:51.056;2024-04-09T20:22:51.056;17.4;0;520630;0.00
2024-04-09T18:22:52.056;2024-04-09T20:22:52.056;17.4;0;520292;0.00
2024-04-09T18:22:53.055;2024-04-09T20:22:53.055;17.4;0;520292;0.00
2024-04-09T18:22:54.054;2024-04-09T20:22:54.054;17.4;0;519948;0.00
2024-04-09T18:22:55.037;2024-04-09T20:22:55.037;17.4;0;519948;0.00
2024-04-09T18:22:56.058;2024-04-09T20:22:56.058;17.4;0;519575;0.00
2024-04-09T18:22:57.040;2024-04-09T20:22:57.040;17.4;0;519575;0.00
2024-04-09T18:22:58.042;2024-04-09T20:22:58.042;17.4;0;519156;0.00
2024-04-09T18:22:59.040;2024-04-09T20:22:59.040;17.4;0;519156;0.00
2024-04-09T18:23:00.039;2024-04-09T20:23:00.039;17.4;0;518806;0.00
