# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 
# Data supplier: 
# Location name: badajoz
# Position (lat, lon, elev(m)): 
# Local timezone: Europe/Madrid
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 2328
# SQM hardware identity: FTB3LBET
# SQM firmware version: 4-3-25
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000025,00002328
# SQM readout test rx: r, 00.00m,0000589584Hz,0000000000c,0000000.000s, 021.2C
# SQM readout test cx: c,00000019.86m,0000136.056s, 020.9C,00000008.71m, 020.3C
# Comment: Badajoz
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.253
# UDM setting: Logged continuously every 1 second,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-04-10T18:25:50.184;2024-04-10T20:25:50.184;21.2;0;589584;0.00
2024-04-10T18:25:51.049;2024-04-10T20:25:51.049;21.2;0;589584;0.00
2024-04-10T18:25:52.036;2024-04-10T20:25:52.036;21.2;0;589297;0.00
2024-04-10T18:25:53.043;2024-04-10T20:25:53.043;21.2;0;589297;0.00
2024-04-10T18:25:54.034;2024-04-10T20:25:54.034;21.2;0;588960;0.00
2024-04-10T18:25:55.042;2024-04-10T20:25:55.042;21.2;0;588960;0.00
2024-04-10T18:25:56.033;2024-04-10T20:25:56.033;21.2;0;588591;0.00
2024-04-10T18:25:57.040;2024-04-10T20:25:57.040;21.2;0;588591;0.00
2024-04-10T18:25:58.032;2024-04-10T20:25:58.032;21.2;0;588197;0.00
2024-04-10T18:25:59.039;2024-04-10T20:25:59.039;21.2;0;588197;0.00
2024-04-10T18:26:00.047;2024-04-10T20:26:00.047;21.2;0;587771;0.00
2024-04-10T18:26:01.037;2024-04-10T20:26:01.037;21.2;0;587771;0.00
2024-04-10T18:26:02.044;2024-04-10T20:26:02.044;21.2;0;587373;0.00
2024-04-10T18:26:03.036;2024-04-10T20:26:03.036;21.2;0;587373;0.00
2024-04-10T18:26:04.043;2024-04-10T20:26:04.043;21.2;0;586898;0.00
2024-04-10T18:26:05.034;2024-04-10T20:26:05.034;21.5;0;586898;0.00
