# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 
# Data supplier: 
# Location name: badajoz
# Position (lat, lon, elev(m)): 
# Local timezone: Europe/Madrid
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 2328
# SQM hardware identity: FTB3LBET
# SQM firmware version: 4-3-25
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000025,00002328
# SQM readout test rx: r, 06.57m,0000207397Hz,0000000000c,0000000.000s, 024.1C
# SQM readout test cx: c,00000019.86m,0000136.056s, 020.9C,00000008.71m, 020.3C
# Comment: Badajoz. He empezado tarde.
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.253
# UDM setting: Logged continuously every 1 second,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-04-11T18:48:08.593;2024-04-11T20:48:08.593;24.1;0;207397;6.57
2024-04-11T18:48:09.042;2024-04-11T20:48:09.042;24.1;0;207397;6.57
2024-04-11T18:48:10.052;2024-04-11T20:48:10.052;24.1;0;207103;6.57
2024-04-11T18:48:11.045;2024-04-11T20:48:11.045;24.1;0;207103;6.57
2024-04-11T18:48:12.084;2024-04-11T20:48:12.084;24.1;0;206811;6.58
2024-04-11T18:48:13.045;2024-04-11T20:48:13.045;24.4;0;206811;6.58
2024-04-11T18:48:14.049;2024-04-11T20:48:14.049;24.4;0;206508;6.58
2024-04-11T18:48:15.085;2024-04-11T20:48:15.085;24.4;0;206508;6.58
2024-04-11T18:48:16.044;2024-04-11T20:48:16.044;24.4;0;206236;6.58
2024-04-11T18:48:17.035;2024-04-11T20:48:17.035;24.1;0;206236;6.58
2024-04-11T18:48:18.046;2024-04-11T20:48:18.046;24.1;0;205951;6.58
2024-04-11T18:48:19.034;2024-04-11T20:48:19.034;24.1;0;205951;6.58
2024-04-11T18:48:20.041;2024-04-11T20:48:20.041;24.1;0;205653;6.58
2024-04-11T18:48:21.030;2024-04-11T20:48:21.030;24.1;0;205653;6.58
2024-04-11T18:48:22.039;2024-04-11T20:48:22.039;24.1;0;205368;6.58
