# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 
# Data supplier: 
# Location name: badajoz
# Position (lat, lon, elev(m)): 
# Local timezone: Europe/Madrid
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 2328
# SQM hardware identity: FTB3LBET
# SQM firmware version: 4-3-25
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000025,00002328
# SQM readout test rx: r, 00.00m,0000405578Hz,0000000000c,0000000.000s, 024.4C
# SQM readout test cx: c,00000019.86m,0000136.056s, 020.9C,00000008.71m, 020.3C
# Comment: Badajoz. Despejado.
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.253
# UDM setting: Logged continuously every 1 second,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-04-16T18:44:16.052;2024-04-16T20:44:16.052;24.4;0;405578;0.00
2024-04-16T18:44:17.056;2024-04-16T20:44:17.056;24.4;0;405012;0.00
2024-04-16T18:44:18.031;2024-04-16T20:44:18.031;24.4;0;405012;0.00
2024-04-16T18:44:19.038;2024-04-16T20:44:19.038;24.8;0;404461;0.00
2024-04-16T18:44:20.028;2024-04-16T20:44:20.028;24.8;0;404461;0.00
2024-04-16T18:44:21.054;2024-04-16T20:44:21.054;24.8;0;403858;0.00
2024-04-16T18:44:22.056;2024-04-16T20:44:22.056;24.8;0;403858;0.00
2024-04-16T18:44:23.037;2024-04-16T20:44:23.037;24.8;0;403293;0.00
2024-04-16T18:44:24.045;2024-04-16T20:44:24.045;24.8;0;403293;0.00
2024-04-16T18:44:25.034;2024-04-16T20:44:25.034;24.8;0;402759;0.00
2024-04-16T18:44:26.043;2024-04-16T20:44:26.043;24.8;0;402759;0.00
2024-04-16T18:44:27.034;2024-04-16T20:44:27.034;24.8;0;402187;0.00
2024-04-16T18:44:28.042;2024-04-16T20:44:28.042;24.8;0;402187;0.00
2024-04-16T18:44:29.033;2024-04-16T20:44:29.033;24.8;0;401615;0.00
2024-04-16T18:44:30.040;2024-04-16T20:44:30.040;24.8;0;401615;0.00
2024-04-16T18:44:31.047;2024-04-16T20:44:31.047;24.8;0;401037;0.00
2024-04-16T18:44:32.039;2024-04-16T20:44:32.039;24.8;0;401037;0.00
2024-04-16T18:44:33.046;2024-04-16T20:44:33.046;24.8;0;400456;0.00
2024-04-16T18:44:34.037;2024-04-16T20:44:34.037;24.8;0;400456;0.00
