# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 
# Data supplier: 
# Location name: 
# Position (lat, lon, elev(m)): 
# Local timezone: Europe/Madrid
# Time Synchronization: GMT+1
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 
# Field of view (degrees): HOYA CM-500
# Number of fields per line: 6
# SQM serial number: 2328
# SQM hardware identity: FTB3LBET
# SQM firmware version: 4-3-25
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000025,00002328
# SQM readout test rx: r, 00.00m,0000614400Hz,0000000000c,0000000.000s, 018.3C
# SQM readout test cx: c,00000019.86m,0000136.056s, 020.9C,00000008.71m, 020.3C
# Comment: Rota muy nublado
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.253
# UDM setting: Logged continuously every 1 second,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-03-27T17:41:17.265;2024-03-27T18:41:17.265;18.3;0;614400;0.00
2024-03-27T17:41:18.031;2024-03-27T18:41:18.031;18.3;0;614400;0.00
2024-03-27T17:41:19.039;2024-03-27T18:41:19.039;18.3;0;614400;0.00
2024-03-27T17:41:20.046;2024-03-27T18:41:20.046;18.3;0;614400;0.00
2024-03-27T17:41:21.038;2024-03-27T18:41:21.038;18.3;0;614400;0.00
2024-03-27T17:41:22.047;2024-03-27T18:41:22.047;18.3;0;614400;0.00
2024-03-27T17:41:23.036;2024-03-27T18:41:23.036;18.3;0;614400;0.00
2024-03-27T17:41:24.043;2024-03-27T18:41:24.043;18.3;0;614400;0.00
2024-03-27T17:41:25.034;2024-03-27T18:41:25.034;18.3;0;614400;0.00
2024-03-27T17:41:26.041;2024-03-27T18:41:26.041;18.3;0;614401;0.00
2024-03-27T17:41:27.034;2024-03-27T18:41:27.034;18.3;0;614401;0.00
2024-03-27T17:41:28.040;2024-03-27T18:41:28.040;18.3;0;614400;0.00
2024-03-27T17:41:29.033;2024-03-27T18:41:29.033;18.3;0;614400;0.00
2024-03-27T17:41:30.041;2024-03-27T18:41:30.041;18.0;0;614400;0.00
2024-03-27T17:41:31.045;2024-03-27T18:41:31.045;18.0;0;614400;0.00
2024-03-27T17:41:32.035;2024-03-27T18:41:32.035;18.0;0;614400;0.00
2024-03-27T17:41:33.040;2024-03-27T18:41:33.040;18.0;0;614400;0.00
2024-03-27T17:41:34.032;2024-03-27T18:41:34.032;18.3;0;614400;0.00
2024-03-27T17:41:35.035;2024-03-27T18:41:35.035;18.3;0;614400;0.00
2024-03-27T17:41:36.041;2024-03-27T18:41:36.041;18.3;0;614400;0.00
2024-03-27T17:41:37.047;2024-03-27T18:41:37.047;18.3;0;614400;0.00
2024-03-27T17:41:38.037;2024-03-27T18:41:38.037;18.3;0;614400;0.00
2024-03-27T17:41:39.044;2024-03-27T18:41:39.044;18.3;0;614400;0.00
2024-03-27T17:41:40.034;2024-03-27T18:41:40.034;18.3;0;614400;0.00
2024-03-27T17:41:41.038;2024-03-27T18:41:41.038;18.3;0;614400;0.00
2024-03-27T17:41:42.044;2024-03-27T18:41:42.044;18.3;0;614400;0.00
2024-03-27T17:41:43.033;2024-03-27T18:41:43.033;18.3;0;614400;0.00
2024-03-27T17:41:44.042;2024-03-27T18:41:44.042;18.3;0;614400;0.00
2024-03-27T17:41:45.048;2024-03-27T18:41:45.048;18.3;0;614400;0.00
